request_id,latency_ms
0,0.511
1,0.526
2,0.529
3,0.532
4,0.536
5,0.537
6,0.543
7,0.543
8,0.545
9,0.55
10,0.554
11,0.554
12,0.554
13,0.555
14,0.556
15,0.557
16,0.557
17,0.559
18,0.559
19,0.56
20,0.564
21,0.564
22,0.564
23,0.565
24,0.565
25,0.569
26,0.571
27,0.571
28,0.572
29,0.573
30,0.574
31,0.574
32,0.575
33,0.575
34,0.576
35,0.576
36,0.577
37,0.579
38,0.581
39,0.581
40,0.582
41,0.582
42,0.582
43,0.582
44,0.583
45,0.583
46,0.586
47,0.587
48,0.59
49,0.593
50,0.593
51,0.593
52,0.597
53,0.597
54,0.601
55,0.601
56,0.603
57,0.603
58,0.603
59,0.604
60,0.604
61,0.605
62,0.605
63,0.605
64,0.606
65,0.606
66,0.607
67,0.608
68,0.608
69,0.609
70,0.609
71,0.61
72,0.61
73,0.611
74,0.611
75,0.611
76,0.612
77,0.612
78,0.613
79,0.613
80,0.614
81,0.614
82,0.614
83,0.615
84,0.615
85,0.615
86,0.616
87,0.616
88,0.616
89,0.616
90,0.617
91,0.617
92,0.618
93,0.62
94,0.62
95,0.62
96,0.621
97,0.622
98,0.622
99,0.623
100,0.624
101,0.625
102,0.625
103,0.625
104,0.626
105,0.626
106,0.627
107,0.628
108,0.628
109,0.628
110,0.628
111,0.628
112,0.629
113,0.629
114,0.629
115,0.629
116,0.63
117,0.63
118,0.631
119,0.631
120,0.631
121,0.631
122,0.633
123,0.634
124,0.634
125,0.634
126,0.634
127,0.635
128,0.636
129,0.636
130,0.64
131,0.64
132,0.64
133,0.641
134,0.641
135,0.642
136,0.643
137,0.643
138,0.644
139,0.644
140,0.644
141,0.645
142,0.645
143,0.646
144,0.646
145,0.646
146,0.646
147,0.647
148,0.647
149,0.648
150,0.648
151,0.649
152,0.649
153,0.65
154,0.65
155,0.65
156,0.651
157,0.651
158,0.652
159,0.653
160,0.655
161,0.655
162,0.656
163,0.656
164,0.656
165,0.657
166,0.659
167,0.66
168,0.66
169,0.66
170,0.66
171,0.66
172,0.661
173,0.661
174,0.662
175,0.662
176,0.662
177,0.662
178,0.663
179,0.663
180,0.663
181,0.663
182,0.663
183,0.665
184,0.665
185,0.665
186,0.666
187,0.666
188,0.666
189,0.666
190,0.667
191,0.668
192,0.669
193,0.669
194,0.669
195,0.669
196,0.67
197,0.67
198,0.671
199,0.671
200,0.672
201,0.672
202,0.672
203,0.673
204,0.673
205,0.673
206,0.674
207,0.674
208,0.674
209,0.674
210,0.674
211,0.675
212,0.675
213,0.675
214,0.676
215,0.676
216,0.676
217,0.677
218,0.677
219,0.677
220,0.678
221,0.678
222,0.678
223,0.678
224,0.678
225,0.679
226,0.679
227,0.679
228,0.68
229,0.68
230,0.68
231,0.682
232,0.682
233,0.682
234,0.682
235,0.682
236,0.683
237,0.683
238,0.684
239,0.684
240,0.684
241,0.684
242,0.684
243,0.684
244,0.685
245,0.686
246,0.686
247,0.686
248,0.688
249,0.688
250,0.688
251,0.688
252,0.689
253,0.689
254,0.689
255,0.689
256,0.69
257,0.691
258,0.692
259,0.692
260,0.692
261,0.692
262,0.692
263,0.692
264,0.693
265,0.694
266,0.694
267,0.694
268,0.695
269,0.696
270,0.696
271,0.697
272,0.697
273,0.698
274,0.698
275,0.698
276,0.698
277,0.698
278,0.698
279,0.699
280,0.699
281,0.7
282,0.7
283,0.7
284,0.701
285,0.701
286,0.702
287,0.702
288,0.702
289,0.703
290,0.703
291,0.703
292,0.703
293,0.703
294,0.703
295,0.704
296,0.704
297,0.704
298,0.704
299,0.704
300,0.704
301,0.705
302,0.705
303,0.705
304,0.705
305,0.706
306,0.706
307,0.706
308,0.707
309,0.707
310,0.708
311,0.708
312,0.709
313,0.709
314,0.709
315,0.709
316,0.709
317,0.709
318,0.71
319,0.711
320,0.711
321,0.711
322,0.711
323,0.711
324,0.711
325,0.712
326,0.712
327,0.712
328,0.713
329,0.713
330,0.713
331,0.713
332,0.713
333,0.714
334,0.714
335,0.714
336,0.714
337,0.714
338,0.715
339,0.715
340,0.715
341,0.715
342,0.715
343,0.716
344,0.716
