request_id,latency_ms
0,1.688
1,1.747
2,1.752
3,1.768
4,1.773
5,1.778
6,1.778
7,1.781
8,1.782
9,1.784
10,1.794
11,1.802
12,1.804
13,1.805
14,1.808
15,1.809
16,1.811
17,1.815
18,1.816
19,1.817
20,1.819
21,1.82
22,1.821
23,1.822
24,1.824
25,1.826
26,1.827
27,1.829
28,1.829
29,1.83
30,1.83
31,1.831
32,1.831
33,1.832
34,1.833
35,1.833
36,1.835
37,1.835
38,1.84
39,1.84
40,1.841
41,1.841
42,1.841
43,1.842
44,1.842
45,1.843
46,1.844
47,1.844
48,1.846
49,1.847
50,1.849
51,1.85
52,1.85
53,1.85
54,1.851
55,1.851
56,1.853
57,1.854
58,1.857
59,1.857
60,1.857
61,1.859
62,1.859
63,1.861
64,1.861
65,1.862
66,1.862
67,1.863
68,1.863
69,1.863
70,1.863
71,1.866
72,1.867
73,1.867
74,1.867
75,1.868
76,1.868
77,1.868
78,1.869
79,1.869
80,1.87
81,1.871
82,1.871
83,1.872
84,1.873
85,1.873
86,1.873
87,1.874
88,1.874
89,1.875
90,1.877
91,1.878
92,1.878
93,1.878
94,1.88
95,1.88
96,1.881
97,1.881
98,1.881
99,1.881
100,1.881
101,1.882
102,1.883
103,1.884
104,1.884
105,1.884
106,1.885
107,1.885
108,1.886
109,1.886
110,1.886
111,1.887
112,1.888
113,1.888
114,1.888
115,1.888
116,1.888
117,1.888
118,1.889
119,1.889
120,1.889
121,1.89
122,1.89
123,1.89
124,1.891
125,1.892
126,1.893
127,1.893
128,1.893
129,1.893
130,1.893
131,1.894
132,1.894
133,1.894
134,1.894
135,1.895
136,1.895
137,1.896
138,1.897
139,1.897
140,1.898
141,1.898
142,1.898
143,1.898
144,1.898
145,1.899
146,1.899
147,1.899
148,1.899
149,1.9
150,1.9
151,1.9
152,1.901
153,1.901
154,1.902
155,1.902
156,1.903
157,1.904
158,1.904
159,1.905
160,1.905
161,1.906
162,1.906
163,1.906
164,1.907
165,1.907
166,1.907
167,1.908
168,1.908
169,1.909
170,1.909
171,1.911
172,1.911
173,1.911
174,1.912
175,1.913
176,1.913
177,1.913
178,1.913
179,1.914
180,1.915
181,1.916
182,1.916
183,1.917
184,1.918
185,1.918
186,1.919
187,1.919
188,1.92
189,1.921
190,1.921
191,1.922
192,1.922
193,1.922
194,1.922
195,1.923
196,1.924
197,1.924
198,1.925
199,1.925
200,1.925
201,1.925
202,1.926
203,1.928
204,1.928
205,1.928
206,1.928
207,1.929
208,1.929
209,1.93
210,1.93
211,1.93
212,1.93
213,1.93
214,1.93
215,1.93
216,1.931
217,1.931
218,1.931
219,1.931
220,1.932
221,1.932
222,1.933
223,1.933
224,1.933
225,1.934
226,1.934
227,1.935
228,1.935
229,1.936
230,1.936
231,1.936
232,1.936
233,1.937
234,1.937
235,1.937
236,1.937
237,1.937
238,1.938
